epoch,dehazy_function_psnr_metric,learning_rate,loss,val_dehazy_function_psnr_metric,val_loss
0,17.64971351623535,9.999999747378752e-05,0.023247232660651207,18.299213409423828,0.019877774640917778
1,21.78382110595703,9.999999747378752e-05,0.00988782849162817,19.498140335083008,0.01470454316586256
2,22.807506561279297,9.999999747378752e-05,0.007879404351115227,19.654935836791992,0.012451814487576485
3,23.318470001220703,9.999999747378752e-05,0.007079460192471743,18.779802322387695,0.014432290568947792
4,23.348743438720703,9.999999747378752e-05,0.006923856679350138,17.47983169555664,0.019427187740802765
5,23.57666778564453,9.999999747378752e-05,0.006539040245115757,19.185945510864258,0.013065879233181477
6,23.577787399291992,9.999999747378752e-05,0.006535687949508429,19.311138153076172,0.01280887145549059
7,23.765810012817383,9.999999747378752e-05,0.006047679111361504,21.016733169555664,0.008994309231638908
8,23.718271255493164,9.999999747378752e-05,0.006207672413438559,22.109407424926758,0.00709946034476161
9,24.1308650970459,9.999999747378752e-05,0.005473765544593334,21.84552764892578,0.007787210866808891
10,24.028383255004883,9.999999747378752e-05,0.005778568796813488,23.96042251586914,0.005090133752673864
11,24.220529556274414,9.999999747378752e-05,0.005358694586902857,23.425050735473633,0.0057057286612689495
12,23.994657516479492,9.999999747378752e-05,0.0056233895011246204,24.403596878051758,0.004613261204212904
13,24.489694595336914,9.999999747378752e-05,0.005098527763038874,24.557111740112305,0.004368681460618973
14,24.5338077545166,9.999999747378752e-05,0.005025606136769056,23.54629898071289,0.007451349403709173
15,24.610620498657227,9.999999747378752e-05,0.004897563252598047,24.50524139404297,0.005875198170542717
16,24.63739585876465,9.999999747378752e-05,0.0048095714300870895,23.497093200683594,0.008287105709314346
17,24.786001205444336,9.999999747378752e-05,0.004890590440481901,23.482980728149414,0.008111448027193546
18,24.731977462768555,9.999999747378752e-05,0.005019350443035364,25.121623992919922,0.004789447411894798
19,24.967212677001953,9.999999747378752e-06,0.004621796775609255,25.23273277282715,0.004237269051373005
20,25.026935577392578,9.999999747378752e-06,0.004472256638109684,25.092687606811523,0.004068397451192141
21,24.994348526000977,9.999999747378752e-06,0.004658304154872894,24.991966247558594,0.004036230966448784
22,24.91895294189453,9.999999747378752e-06,0.004548612982034683,25.094114303588867,0.003981425892561674
23,25.117626190185547,9.999999747378752e-06,0.00446800421923399,25.19043731689453,0.0039289528504014015
24,25.114791870117188,9.999999747378752e-06,0.004379659425467253,25.30675506591797,0.003862491576001048
25,25.129840850830078,9.999999747378752e-06,0.004443718586117029,25.129047393798828,0.0039800857193768024
26,24.901601791381836,9.999999747378752e-06,0.004586583003401756,25.155832290649414,0.003968557808548212
27,25.2237491607666,9.999999747378752e-06,0.0042928289622068405,25.333589553833008,0.0038909472059458494
28,25.181005477905273,9.999999747378752e-06,0.004275366198271513,25.322616577148438,0.003894849680364132
29,25.161863327026367,9.999999974752427e-07,0.0042441352270543575,25.371728897094727,0.003890405874699354
30,25.004104614257812,9.999999974752427e-07,0.0044506993144750595,25.393156051635742,0.003904067911207676
31,25.14606475830078,9.999999974752427e-07,0.004359142389148474,25.3996639251709,0.0039135972037911415
32,25.279956817626953,9.999999974752427e-07,0.0041750953532755375,25.3914737701416,0.003901743795722723
33,25.159395217895508,9.999999974752427e-07,0.004286388400942087,25.39917755126953,0.003923555836081505
34,24.918622970581055,9.999999974752427e-07,0.004601521883159876,25.383777618408203,0.003927906509488821
