epoch,dynamic_power_law_transform_psnr_metric,learning_rate,loss,val_dynamic_power_law_transform_psnr_metric,val_loss
30,16.838909149169922,9.999999747378752e-05,0.026566607877612114,19.08841896057129,0.015514777041971684
31,17.02945327758789,9.999999747378752e-05,0.026010708883404732,19.575185775756836,0.014127368107438087
32,16.566844940185547,9.999999747378752e-05,0.027978694066405296,19.059703826904297,0.015704911202192307
33,16.63119125366211,9.999999747378752e-05,0.02943047322332859,19.080265045166016,0.015638818964362144
34,17.096847534179688,9.999999747378752e-05,0.02528938092291355,19.411537170410156,0.014612973667681217
35,16.785072326660156,9.999999747378752e-05,0.02712780050933361,19.61870574951172,0.01398705504834652
36,17.194202423095703,9.999999747378752e-05,0.024793803691864014,19.3975772857666,0.014512110501527786
37,17.159767150878906,9.999999747378752e-05,0.025463081896305084,19.497364044189453,0.014222066849470139
38,17.443763732910156,9.999999747378752e-05,0.023756863549351692,19.937664031982422,0.013035074807703495
39,17.534679412841797,9.999999747378752e-05,0.023802749812602997,19.677343368530273,0.013666846789419651
40,17.653547286987305,9.999999747378752e-05,0.022275492548942566,19.781408309936523,0.013345531187951565
41,17.69226837158203,9.999999747378752e-05,0.02219076082110405,19.794885635375977,0.013240150175988674
42,17.756074905395508,9.999999747378752e-05,0.021866772323846817,19.767383575439453,0.01321614719927311
43,18.050918579101562,9.999999747378752e-05,0.02029910869896412,19.97735023498535,0.012605815194547176
44,18.158069610595703,9.999999747378752e-05,0.019967563450336456,20.134632110595703,0.012148845940828323
45,18.096019744873047,9.999999747378752e-05,0.01995154283940792,20.27471351623535,0.0118578365072608
46,18.03900909423828,9.999999747378752e-05,0.020948169752955437,20.08611297607422,0.01224620919674635
47,18.05674934387207,9.999999747378752e-05,0.020281843841075897,20.292652130126953,0.011701074428856373
48,18.361473083496094,9.999999747378752e-05,0.01878206618130207,20.400962829589844,0.011419328860938549
49,18.32867431640625,9.999999747378752e-05,0.019336512312293053,20.382524490356445,0.011381285265088081
50,18.612558364868164,9.999999747378752e-05,0.018427275121212006,20.350339889526367,0.011480710469186306
51,18.364349365234375,9.999999747378752e-05,0.0194329135119915,20.50286102294922,0.011118440888822079
52,18.228662490844727,9.999999747378752e-05,0.019280368462204933,20.52533531188965,0.011002638377249241
53,18.462987899780273,9.999999747378752e-05,0.019097279757261276,20.768644332885742,0.01043143030256033
54,18.522418975830078,9.999999747378752e-05,0.01822793297469616,21.054941177368164,0.009778590872883797
55,18.660690307617188,9.999999747378752e-05,0.017520330846309662,21.116844177246094,0.009663640521466732
56,18.7176570892334,9.999999747378752e-05,0.01694413088262081,21.097515106201172,0.009754665195941925
57,18.915943145751953,9.999999747378752e-05,0.016624435782432556,21.166425704956055,0.009675710462033749
58,19.008630752563477,9.999999747378752e-05,0.0156490970402956,21.083036422729492,0.00973715540021658
59,19.143413543701172,9.999999747378752e-05,0.015895606949925423,21.208879470825195,0.00936830323189497
60,18.926530838012695,9.999999747378752e-05,0.0167640782892704,21.339406967163086,0.009099125862121582
61,18.95530891418457,9.999999747378752e-05,0.016956569626927376,21.15790557861328,0.009571564383804798
62,19.111291885375977,9.999999747378752e-05,0.015955181792378426,21.41958999633789,0.008933532983064651
63,19.015100479125977,9.999999747378752e-05,0.016329890117049217,21.3927059173584,0.009034744463860989
64,19.21275520324707,9.999999747378752e-05,0.015347549691796303,21.502592086791992,0.008826361037790775
65,19.118959426879883,9.999999747378752e-05,0.016051562502980232,21.623332977294922,0.008554666303098202
66,19.573881149291992,9.999999747378752e-05,0.014305196702480316,21.550403594970703,0.008726298809051514
67,19.348609924316406,9.999999747378752e-05,0.015337803401052952,21.689647674560547,0.008393613621592522
68,19.603246688842773,9.999999747378752e-05,0.014186147600412369,21.722126007080078,0.008360516279935837
69,19.575361251831055,9.999999747378752e-05,0.01411751750856638,21.936864852905273,0.007915795780718327
70,19.77726173400879,9.999999747378752e-05,0.013290333561599255,21.940994262695312,0.007830551825463772
71,19.577802658081055,9.999999747378752e-05,0.01406333688646555,21.697214126586914,0.008309184573590755
72,19.766372680664062,9.999999747378752e-05,0.013658390380442142,21.314741134643555,0.009212003089487553
73,19.723596572875977,9.999999747378752e-05,0.013454556465148926,21.350862503051758,0.00927362497895956
74,19.9064998626709,9.999999747378752e-05,0.013376083225011826,22.065963745117188,0.007899576798081398
75,19.675514221191406,9.999999747378752e-06,0.0144096864387393,22.090106964111328,0.007700318470597267
76,19.642963409423828,9.999999747378752e-06,0.013781839981675148,22.03125762939453,0.007773801684379578
77,19.841594696044922,9.999999747378752e-06,0.013324882835149765,22.03946304321289,0.0077484785579144955
78,20.09457015991211,9.999999747378752e-06,0.012553492560982704,22.05144691467285,0.007726456969976425
79,20.066965103149414,9.999999747378752e-06,0.012884516268968582,22.038589477539062,0.007738305255770683
