epoch,dynamic_power_law_transform_psnr_metric,learning_rate,loss,val_dynamic_power_law_transform_psnr_metric,val_loss
0,6.20034122467041,9.999999747378752e-05,0.26093336939811707,4.856524467468262,0.3354666829109192
1,6.863065719604492,9.999999747378752e-05,0.22820308804512024,6.389885902404785,0.23443342745304108
2,8.165175437927246,9.999999747378752e-05,0.17401312291622162,8.825010299682617,0.13672350347042084
3,9.187723159790039,9.999999747378752e-05,0.1390610635280609,9.210101127624512,0.12556873261928558
4,9.891778945922852,9.999999747378752e-05,0.11862745881080627,10.337145805358887,0.0983942523598671
5,10.697454452514648,9.999999747378752e-05,0.1055508702993393,10.384037017822266,0.09741733223199844
6,11.663042068481445,9.999999747378752e-05,0.0856265053153038,11.273172378540039,0.07927663624286652
7,12.213924407958984,9.999999747378752e-05,0.07532157748937607,12.33551025390625,0.06273338198661804
8,12.740450859069824,9.999999747378752e-05,0.0670665055513382,12.726495742797852,0.05767195299267769
9,13.214678764343262,9.999999747378752e-05,0.06307404488325119,13.78537368774414,0.04659578204154968
10,13.363214492797852,9.999999747378752e-05,0.058787569403648376,14.324911117553711,0.04190409183502197
11,13.789403915405273,9.999999747378752e-05,0.05283401906490326,14.89693832397461,0.03740587458014488
12,13.809597969055176,9.999999747378752e-05,0.05323238670825958,15.546192169189453,0.032821424305438995
13,14.039214134216309,9.999999747378752e-05,0.05035218596458435,15.849156379699707,0.030975766479969025
14,14.433306694030762,9.999999747378752e-05,0.04757380113005638,16.040546417236328,0.02987811155617237
15,14.495413780212402,9.999999747378752e-05,0.04664306715130806,16.264802932739258,0.02857324853539467
16,14.585482597351074,9.999999747378752e-05,0.044926032423973083,16.467355728149414,0.027397600933909416
17,14.811436653137207,9.999999747378752e-05,0.04275660961866379,16.551054000854492,0.026934051886200905
18,14.937358856201172,9.999999747378752e-05,0.04039110988378525,16.570724487304688,0.026957521215081215
19,15.251001358032227,9.999999747378752e-05,0.03916409984230995,16.78325653076172,0.025680752471089363
20,15.463626861572266,9.999999747378752e-05,0.03851865604519844,17.129011154174805,0.02376530133187771
21,15.366035461425781,9.999999747378752e-05,0.03745396062731743,17.52906608581543,0.02183511108160019
22,15.510429382324219,9.999999747378752e-05,0.03879125416278839,17.58588409423828,0.021543018519878387
23,15.959602355957031,9.999999747378752e-05,0.032929927110672,17.87588882446289,0.020327378064393997
24,15.92303466796875,9.999999747378752e-05,0.03368379548192024,18.05133056640625,0.019632473587989807
25,16.01218605041504,9.999999747378752e-05,0.03290671855211258,18.084989547729492,0.01947183348238468
26,16.271228790283203,9.999999747378752e-05,0.03086411952972412,18.392284393310547,0.018257971853017807
27,16.111949920654297,9.999999747378752e-05,0.03141658753156662,18.426179885864258,0.018044158816337585
28,16.563791275024414,9.999999747378752e-05,0.029108714312314987,18.725997924804688,0.016896706074476242
29,16.5156192779541,9.999999747378752e-05,0.029601354151964188,18.905542373657227,0.016115428879857063
