epoch,dehazy_function_psnr_metric,learning_rate,loss,val_dehazy_function_psnr_metric,val_loss
0,20.010723114013672,9.999999747378752e-05,0.014542042277753353,18.81795883178711,0.017578106373548508
1,22.269773483276367,9.999999747378752e-05,0.008572706952691078,19.2520751953125,0.014142192900180817
2,22.894691467285156,9.999999747378752e-05,0.007717772852629423,18.8511962890625,0.014415552839636803
3,23.082868576049805,9.999999747378752e-05,0.006916826590895653,18.727222442626953,0.014729573391377926
4,23.324438095092773,9.999999747378752e-05,0.006885203067213297,19.11066246032715,0.013515839353203773
5,23.42715835571289,9.999999747378752e-05,0.0065828002989292145,18.190210342407227,0.016611237078905106
6,23.71390151977539,9.999999747378752e-05,0.0062033068388700485,18.648929595947266,0.014926297590136528
7,24.196836471557617,9.999999747378752e-05,0.005686203949153423,18.6524715423584,0.015074390918016434
8,23.776594161987305,9.999999747378752e-05,0.006014026235789061,19.079496383666992,0.013881799764931202
9,24.227933883666992,9.999999747378752e-05,0.005490253679454327,18.776458740234375,0.015007209964096546
10,24.32343101501465,9.999999747378752e-06,0.0050802286714315414,21.81346893310547,0.007793712429702282
11,24.551218032836914,9.999999747378752e-06,0.005078233312815428,23.10547637939453,0.00593468127772212
12,24.179292678833008,9.999999747378752e-06,0.00526759447529912,23.732135772705078,0.005179720930755138
13,24.388938903808594,9.999999747378752e-06,0.005223990883678198,24.18905258178711,0.004772123880684376
14,24.49108123779297,9.999999747378752e-06,0.005280567333102226,24.611164093017578,0.004462189506739378
15,24.268537521362305,9.999999747378752e-06,0.0051035028882324696,24.786340713500977,0.004463321063667536
16,24.777860641479492,9.999999747378752e-06,0.004722909070551395,24.832082748413086,0.004362016450613737
17,24.39368438720703,9.999999747378752e-06,0.005092555657029152,24.814111709594727,0.0043082889169454575
18,24.522985458374023,9.999999747378752e-06,0.005026774946600199,24.97260284423828,0.004315226338803768
19,24.539289474487305,9.999999747378752e-06,0.005161734763532877,24.81903839111328,0.004236527718603611
20,24.34942054748535,9.999999747378752e-06,0.005387300159782171,24.987571716308594,0.0042134784162044525
21,24.60470199584961,9.999999747378752e-06,0.004949691705405712,25.109207153320312,0.004222570452839136
22,24.637414932250977,9.999999747378752e-06,0.004963723011314869,24.872426986694336,0.004299527499824762
23,24.54584312438965,9.999999747378752e-06,0.004920687526464462,25.003755569458008,0.004219254478812218
24,24.391542434692383,9.999999747378752e-06,0.0051100593991577625,24.94782066345215,0.004433052614331245
25,24.826396942138672,9.999999974752427e-07,0.004484903067350388,24.992380142211914,0.004394525662064552
26,24.719741821289062,9.999999974752427e-07,0.0048560225404798985,25.0340576171875,0.004365300294011831
27,24.53014373779297,9.999999974752427e-07,0.005128698889166117,25.036582946777344,0.004390021786093712
28,24.66143035888672,9.999999974752427e-07,0.004797991365194321,25.034399032592773,0.0044146194122731686
29,24.690488815307617,9.999999974752427e-07,0.00488730613142252,25.051088333129883,0.004361972212791443
30,24.620389938354492,9.999999974752427e-07,0.00492133991792798,25.083070755004883,0.004289389122277498
